source,title,date,url,description,strategic_theme
newsroom,C2FO Claims Top IFC Award in Lisbon as Global Funding Surpasses Half-Trillion-Dollar Milestone,2026-04-03,https://c2fo.com/newsroom/c2fo-claims-top-ifc-award-in-lisbon-as-global-funding-surpasses-half-trillion-dollar-milestone/,,Awards / Recognition
newsroom,"CycleFlow powered by C2FO and IFC Launch Supply Chain Finance Platform in Nigeria, Transforming Access to Finance for Nigerian MSMEs",2026-04-02,https://c2fo.com/newsroom/cycleflow-powered-by-c2fo-and-ifc-launch-supply-chain-finance-platform-in-nigeria-transforming-access-to-finance-for-nigerian-msmes/,,Geographic Expansion
newsroom,C2FO Surpasses a Half Trillion in Funding Milestone as Businesses Pivot from Debt to Cash Flow Autonomy,2026-03-17,https://c2fo.com/newsroom/c2fo-surpasses-a-half-trillion-in-funding-milestone/,C2FO announced today it has funded more than half a trillion dollars in working capital to businesses worldwide.,Awards / Recognition
newsroom,"Delayed Payments to MSMEs in India Decrease to ₹7.34 Lakh Crore, but Challenges Persist: Delayed Payments 3.0 Report",2025-12-04,https://c2fo.com/newsroom/delayed-payments-to-msmes-in-india-decrease-to-%e2%82%b97-34-lakh-crore-but-challenges-persist-delayed-payments-3-0-report/,,Thought Leadership
newsroom,C2FO Honored with the prestigious Sustainable Business COP 30 Award in Transition Finance and Investment,2025-11-12,https://c2fo.com/newsroom/c2fo-honored-with-the-prestigious-sustainable-business-cop-30-award-in-transition-finance-and-investment/,"C2FO has been awarded the prestigious Sustainable-Business COP 30 (SB-COP) Award in the ""Transition Finance and Investment"" category.",ESG / Sustainability
newsroom,C2FO Recognized at B20 South Africa for Driving Inclusive Growth Through Early Payments,2025-09-19,https://c2fo.com/newsroom/c2fo-recognized-at-b20-south-africa-for-driving-inclusive-growth-through-early-payments/,Strategic partnership with IFC highlighted in B20 policy paper as key to unlocking economic growth in emerging markets.,ESG / Sustainability
newsroom,C2FO Recognized Among CNBC’s World’s Top Fintech Companies 2025,2025-07-28,https://c2fo.com/newsroom/cnbc-world-top-fintech-companies-2025/,"Discover which companies made the list of top fintech companies in 2025 as ranked by CNBC and Statista, Inc.",Awards / Recognition
newsroom,"C2FO Supports Businesses Around the Globe Amid Tariff Disruptions, Reports Record Customer Satisfaction",2025-06-12,https://c2fo.com/newsroom/c2fo-supports-businesses-around-the-globe-amid-tariff-disruptions-reports-record-customer-satisfaction/,"Understand how C2FO supports businesses globally, delivering working capital to help them navigate tariffs and economic challenges effectively.",Geographic Expansion
newsroom,C2FO Raises $30 Million With IFC to Enhance Global Platform,2025-04-14,https://c2fo.com/newsroom/c2fo-raises-30-million-with-ifc-to-enhance-global-platform/,Read about C2FO's successful $30 million funding round with IFC to enhance access to working capital for businesses in emerging markets.,Geographic Expansion
newsroom,Record-Breaking Year for C2FO Marks Shift in Trade Finance Landscape,2025-01-14,https://c2fo.com/newsroom/record-breaking-year-for-c2fo-marks-shift-in-trade-finance-landscape/,Learn how C2FO is transforming business financing. Discover why companies are turning to this on-demand working capital platform for funding.,Thought Leadership
blog,Qué hacer cuando los plazos de pago se alargan,,https://c2fo.com/resources/en-espanol/que-hacer-cuando-los-plazos-de-pago-se-alargan/,Le explicamos cuatro formas de financiación alternativas para ayudar a pequeños y medianos proveedores a soportar la presión.,Other
blog,La importancia del ciclo de conversión de efectivo es crucial en tiempos de inflación,,https://c2fo.com/resources/en-espanol/la-importancia-del-ciclo-de-conversion-de-efectivo-es-crucial-en-tiempos-de-inflacion/,El repunte económico está aumentando la preocupación global sobre la inflación. A continuación se explica cómo preparar su ciclo de conversión de efectivo puede ayudar a su empresa a reaccionar y adaptarse durante períodos de inflación.,Thought Leadership
blog,¿Qué es el flujo de caja libre y por qué es importante?,,https://c2fo.com/resources/en-espanol/que-es-el-flujo-de-caja-libre-y-por-que-es-importante/,"Aunque no se muestra en sus finanzas, podría decirse que el flujo de caja libre es una de las métricas más importantes de su empresa. Le explicamos cómo averiguarlo, entenderlo y utilizarlo.",Thought Leadership
blog,Caso de estudio: ABC Parts Spain S.L.,,https://c2fo.com/resources/en-espanol/caso-de-estudio-abc-parts-spain-s-l/,El distribuidor español de piezas para automoción descubrió cómo C2FO podía facilitar el movimiento de dinero rápidamente y reducir el riesgo financiero.,Thought Leadership
blog,Invertir en valor es el nuevo ROI,,https://c2fo.com/resources/en-espanol/para-comprender-las-oportunidades-de-la-proxima-decada-las-empresas-deben-adoptar-una-filosofia-que-priorice-el-valor/,"Para comprender las oportunidades de la próxima década, las empresas deben adoptar una filosofía que priorice el valor.",Other
blog,Why Cash Velocity is the New Backbone of Global Supply Chains,,https://c2fo.com/resources/working-capital/why-cash-velocity-is-the-new-backbone-of-global-supply-chains/,"Learn how CycleFlow, powered by C2FO, is bridging the MSME credit gap in Nigeria to drive job creation and economic nation-building.",Thought Leadership
